id,gap_size,gap_proprotion,e_ndvi,e_elev,e_prec,e_area,e_edge,e_earatio,d_ndvi,d_elev,d_prec,d_area,d_edge,d_earatio,gap_size_km,e_ndvi_r,e_elev_km,e_prec_m,e_area_km,e_edge_km,e_earatio_km,d_ndvi_r,d_elev_km,d_prec_m,d_area_km,d_edge_km,d_earatio_km,g_edge,g_edge_km,long,lat
1404,186.149,0.018912978,240.693,2055.1,1295.259,9842.395,593.512,0.060301583,242.587,2055.1,1295.259,9656.246,644.57,0.066751613,0.000186149,0.240693,2.0551,1.295259,0.009842395,0.593512,60.3015831,0.242587,2.0551,1.295259,0.009656246,0.64457,66.75161341,51.067,0.051067,363581.6533,1108239.129
538,198.561,0.02717482,248.496,2096.375,1253.38,7306.801,383.987,0.052551999,253.772,2096.375,1253.38,7108.24,435.264,0.061233723,0.000198561,0.248496,2.096375,1.25338,0.007306801,0.383987,52.55199916,0.253772,2.096375,1.25338,0.00710824,0.435264,61.23372312,51.289,0.051289,384168.7593,1230557.033
1414,203.29,0.025654794,190.69,1915,1258.626,7924.055,402.293,0.050768577,193.414,1915,1258.626,7720.765,453.609,0.058751821,0.00020329,0.19069,1.915,1.258626,0.007924055,0.402293,50.76857745,0.193414,1.915,1.258626,0.007720765,0.453609,58.75182058,51.331,0.051331,402060.8523,1239162.315
2459,201.473,0.023048318,231.323,1784.091,1192.707,8741.332,380.757,0.043558236,235.224,1784.091,1192.707,8539.859,432.11,0.050599196,0.000201473,0.231323,1.784091,1.192707,0.008741332,0.380757,43.55823575,0.235224,1.784091,1.192707,0.008539859,0.43211,50.59919608,51.366,0.051366,387539.4702,1232231.937
1479,133.851,0.009884236,209.091,2367.231,1193.359,13541.866,1139.98,0.084181899,209.74,2366.667,1193.359,13408.015,1191.489,0.088863937,0.000133851,0.209091,2.367231,1.193359,0.013541866,1.13998,84.1818993,0.20974,2.366667,1.193359,0.013408015,1.191489,88.86393698,51.527,0.051527,425437.4194,1240444.212
3013,213.361,0.010676146,328.078,2076.227,1563.601,19984.834,686.756,0.034363858,329.678,2076.095,1563.601,19771.473,739.332,0.037393876,0.000213361,0.328078,2.076227,1.563601,0.019984834,0.686756,34.36385811,0.329678,2.076095,1.563601,0.019771473,0.739332,37.39387551,52.577,0.052577,326581.0395,1204509.769
609,209.504,0.030356691,365.387,2966.111,1754.582,6901.411,350.067,0.050723975,368.099,2966.125,1754.582,6691.907,402.753,0.060185086,0.000209504,0.365387,2.966111,1.754582,0.006901411,0.350067,50.72397514,0.368099,2.966125,1.754582,0.006691907,0.402753,60.18508625,52.69,0.05269,335921.7957,1211991.825
2999,206.036,0.016683535,273.468,2146,1594.453,12349.661,478.607,0.038754667,274.705,2146,1594.453,12143.625,531.325,0.04375341,0.000206036,0.273468,2.146,1.594453,0.012349661,0.478607,38.75466703,0.274705,2.146,1.594453,0.012143625,0.531325,43.75340971,52.719,0.052719,325011.4799,1210191.14
1489,207.596,0.0869942,180.6,2144.163,1174.326,2386.32,186.148,0.078006303,182.284,2143.988,1174.326,2178.724,238.977,0.109686679,0.000207596,0.1806,2.144163,1.174326,0.00238632,0.186148,78.00630259,0.182284,2.143988,1.174326,0.002178724,0.238977,109.686679,52.846,0.052846,426876.8897,1263669.781
477,213.143,0.033330076,220.308,1724.5,1286.152,6394.915,476.419,0.074499661,225.686,1724.5,1286.152,6181.772,529.256,0.085615581,0.000213143,0.220308,1.7245,1.286152,0.006394915,0.476419,74.49966106,0.225686,1.7245,1.286152,0.006181772,0.529256,85.61558078,52.851,0.052851,395133.315,1246944.999
1371,210.229,0.025476325,189.413,1854.222,1195.525,8251.936,581.404,0.070456678,190.816,1853.875,1195.525,8041.707,634.48,0.078898672,0.000210229,0.189413,1.854222,1.195525,0.008251936,0.581404,70.45667829,0.190816,1.853875,1.195525,0.008041707,0.63448,78.89867164,53.087,0.053087,369958.6529,1247726.534
1072,221.369,0.231835686,80.079,2164.443,1246.662,954.853,111.847,0.117135308,93.892,2164.352,1246.662,733.484,165.104,0.225095571,0.000221369,0.080079,2.164443,1.246662,0.000954853,0.111847,117.1353077,0.093892,2.164352,1.246662,0.000733484,0.165104,225.0955713,53.271,0.053271,396123.6557,1341433.441
3067,220.132,0.01146126,317.084,2264.091,1647.335,19206.614,590.879,0.03076435,319.359,2264.091,1647.335,18986.482,644.46,0.033943097,0.000220132,0.317084,2.264091,1.647335,0.019206614,0.590879,30.76435024,0.319359,2.264091,1.647335,0.018986482,0.64446,33.94309699,53.578,0.053578,309868.5059,1195275.512
394,209.191,0.058174186,201.621,1959.667,1092.398,3595.942,280.341,0.077960379,209.778,1959.667,1092.398,3386.751,334.013,0.09862343,0.000209191,0.201621,1.959667,1.092398,0.003595942,0.280341,77.96037867,0.209778,1.959667,1.092398,0.003386751,0.334013,98.62342995,53.691,0.053691,437213.5351,1187468.313
424,210.423,0.074734374,162.644,1779.25,1121.126,2815.612,282.921,0.10048295,170.356,1779.25,1121.126,2605.189,336.613,0.129208668,0.000210423,0.162644,1.77925,1.121126,0.002815612,0.282921,100.4829501,0.170356,1.77925,1.121126,0.002605189,0.336613,129.2086678,53.711,0.053711,439879.1295,1206309.228
1611,215.478,0.002803637,467.648,2637.296,1257.834,76856.604,1316.303,0.017126739,468.441,2637.138,1257.834,76641.126,1370.012,0.017875677,0.000215478,0.467648,2.637296,1.257834,0.076856604,1.316303,17.12673904,0.468441,2.637138,1.257834,0.076641126,1.370012,17.87567683,53.724,0.053724,400970.9919,1215961.051
2515,218.778,0.037177515,363.634,2512.333,1102.185,5884.686,348.825,0.05927674,366.971,2512.333,1102.185,5665.908,402.638,0.071063279,0.000218778,0.363634,2.512333,1.102185,0.005884686,0.348825,59.27673966,0.366971,2.512333,1.102185,0.005665908,0.402638,71.06327882,53.832,0.053832,444152.7326,1255861.396
1379,212.132,0.036586178,196.217,1703,1192.707,5798.146,323.775,0.055841126,198.522,1703,1192.707,5586.014,377.811,0.067635169,0.000212132,0.196217,1.703,1.192707,0.005798146,0.323775,55.84112577,0.198522,1.703,1.192707,0.005586014,0.377811,67.63516883,54.05,0.05405,388725.0851,1234547.25
460,225.122,0.034590283,280.733,2294.5,1187.92,6508.244,359.728,0.055272666,284.137,2294.5,1187.92,6283.122,413.81,0.065860571,0.000225122,0.280733,2.2945,1.18792,0.006508244,0.359728,55.27266648,0.284137,2.2945,1.18792,0.006283122,0.41381,65.86057059,54.098,0.054098,407326.9769,1245928.236
1884,220.824,0.035813674,302.144,1688.286,1192.707,6165.913,554.168,0.089876065,313.412,1688.286,1192.707,5945.089,608.288,0.102317728,0.000220824,0.302144,1.688286,1.192707,0.006165913,0.554168,89.87606539,0.313412,1.688286,1.192707,0.005945089,0.608288,102.3177281,54.133,0.054133,385210.9586,1234187.676
545,199.949,0.017727077,210.749,1635.167,1168.77,11279.299,741.179,0.065711442,212.016,1635.167,1168.77,11079.35,795.384,0.071789771,0.000199949,0.210749,1.635167,1.16877,0.011279299,0.741179,65.71144182,0.212016,1.635167,1.16877,0.01107935,0.795384,71.78977106,54.219,0.054219,398973.7923,1230888.388
