id,elev
1641,3120
1642,2250
1643,2554
1644,2506
1645,2722
1646,2803
1647,2408
1648,2490
1649,2420
165,1814
1650,2431
1651,2454
1652,2385
1653,2460
1654,2508
1655,2202
1656,2753
1657,2508
1658,2601
1659,2511
166,2588
1660,2204
1661,2485
1662,2339
1663,2501
1664,2340
1665,2557
1666,2847
1667,2303
1668,2577
1669,2192
167,2806
1670,2329
1671,2290
1672,2327
1673,2493
1674,2325
1675,2789
1676,1819
1677,2800
1678,3096
1679,2411
168,2717
1680,2675
1681,2373
1682,2529
1683,2732
1684,3031
1685,2905
1686,2777
1687,3086
1688,2531
1689,1849
169,2581
1690,1834
1691,2240
1692,1875
1693,2191
1694,2128
1695,2026
1696,2317
1697,2042
1698,1701
1699,2038
17,1798
170,2591
1700,1946
1701,2370
1702,2369
1703,2367
1704,2192
1705,2342
1706,1895
1707,1870
1708,1846
1709,2304
171,3033
1710,1850
1711,1855
1712,2018
1713,2372
1714,2363
1715,1896
1716,1982
1717,1938
1718,1987
1719,2340
172,2906
1720,2387
1721,1990
1722,1857
1723,2092
1724,2073
1725,2126
1726,2313
1727,2416
1728,2319
1729,2403
173,3108
1730,2411
1731,2282
1732,2422
1733,2126
1734,2156
1735,2030
1736,2339
1737,2385
1738,2439
1739,2252
174,2491
1740,2137
1741,2056
1742,2419
1743,2183
1744,2379
1745,2143
1746,2334
1747,1822
1748,2128
1749,2357
175,2577
1750,1898
1751,2135
1752,1993
1753,2126
1754,2258
1755,2015
1756,2021
1757,2113
1758,2070
1759,2122
176,2790
1760,2477
1761,2065
1762,2050
1763,2019
1764,2322
1765,2201
1766,2209
1767,2230
1768,2221
1769,1773
177,2587
1770,2143
1771,2478
1772,2476
1773,2505
1774,2283
1775,2461
1776,2468
1777,1863
1778,2211
1779,2198
178,1937
1780,2513
1781,2188
1782,2205
1783,2515
1784,2159
1785,2300
1786,2402
1787,2516
1788,2436
1789,2127
179,2562
1790,2210
1791,2538
1792,2214
1793,2550
1794,2258
1795,2239
1796,2246
1797,2243
1798,2460
1799,2297
18,2436
180,2642
1800,2401
1801,2463
1802,2523
1803,2509
1804,2410
1805,2552
1806,2309
1807,2535
1808,2437
1809,2513
181,2551
1810,2556
1811,2449
1812,1971
1813,2206
1814,2548
1815,2128
1816,2321
1817,2331
1818,2331
1819,2390
182,2448
1820,2375
1821,2377
1822,2374
1823,2354
1824,2347
1825,2307
1826,2317
1827,2367
1828,2354
1829,2317
183,1934
1830,2385
1831,2417
1832,2459
1833,2348
1834,2380
1835,2351
1836,2377
1837,2350
1838,2137
1839,2337
184,1827
1840,2317
1841,2364
1842,2151
1843,2533
1844,2459
1845,2531
1846,2501
1847,2547
1848,2433
1849,2259
185,2737
1850,2545
1851,2212
1852,2072
1853,2179
1854,2347
1855,1876
1856,2547
1857,2802
1858,2088
1859,2443
186,2331
1860,2599
1861,2732
1862,2314
1863,2456
1864,2452
1865,2264
1866,2618
1867,2403
1868,2343
1869,2376
187,2677
1870,2477
1871,2507
1872,2296
1873,2555
1874,2651
1875,2554
1876,2552
1877,2429
1878,2623
1879,2075
188,2224
1880,2977
1881,2653
1882,2412
1883,2337
1884,1679
1885,1730
1886,1778
1887,1749
1888,1909
1889,1759
189,2444
1890,2333
1891,2657
1892,2609
1893,2442
1894,2778
1895,2887
1896,2988
1897,2889
1898,2510
1899,2571
19,2195
190,2497
1900,2463
1901,2557
1902,2160
1903,2552
1904,2058
1905,2161
1906,2133
1907,2392
1908,2687
1909,2161
191,2502
1910,2073
1911,2555
1912,2069
1913,2634
1914,2126
1915,2487
1916,2353
1917,2125
1918,2851
1919,2585
192,2689
1920,2347
1921,2380
1922,2647
1923,2385
1924,2610
1925,2596
1926,1765
1927,2518
1928,1829
1929,2555
193,2520
1930,2659
1931,1838
1932,2631
1933,2650
1934,2890
1935,1905
1936,2809
1937,2634
1938,2780
1939,2589
194,2529
1940,2557
1941,2724
1942,2778
1943,2622
1944,2366
1945,2700
1946,2939
1947,2365
1948,3173
1949,2594
195,1763
1950,2514
1951,2599
1952,2549
1953,2510
1954,2975
1955,2748
1956,2656
1957,2721
1958,2864
1959,2677
196,2851
1960,2602
1961,2207
1962,2766
1963,2785
1964,2556
1965,2765
1966,2611
1967,2843
1968,2620
1969,2956
197,2065
1970,2299
1971,2902
1972,2941
1973,2870
1974,3050
1975,2569
1976,2771
1977,2869
1978,2685
1979,2727
198,2110
1980,2679
1981,2550
1982,2007
1983,3096
1984,2764
1985,2358
1986,2988
1987,2528
1988,2825
1989,2142
199,2775
1990,2809
1991,2700
1992,2504
1993,2587
1994,2900
1995,2874
1996,2244
1997,2818
1998,2330
1999,2085
2,1991
20,2256
200,2559
2000,1884
2001,2380
2002,2244
2003,2073
2004,2183
2005,2244
2006,2251
2007,2255
2008,1977
2009,1979
201,2962
2010,2446
2011,2576
2012,2406
2013,2425
2014,1877
2015,2284
2016,2444
2017,1862
2018,2604
2019,2501
202,2441
2020,2380
2021,2128
2022,2673
2023,2146
2024,2388
2025,2515
2026,2353
2027,2401
2028,2255
2029,2216
203,2479
2030,2233
2031,2170
2032,2240
2033,2102
2034,1846
2035,1847
2036,2173
2037,1859
2038,1826
2039,1827
204,2505
2040,2545
2041,2512
2042,2339
2043,2576
2044,2531
2045,2549
2046,2340
2047,2707
2048,2760
2049,2709
205,2582
2050,2796
2051,2476
2052,2656
2053,2887
2054,2913
2055,2682
2056,3033
2057,2967
2058,1810
2059,1836
206,2644
2060,1845
2061,1854
2062,1850
2063,1889
2064,1846
